"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9548","Проверка перехода по клику на кнопку 'Лента заказов'","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","11517","Проверка увеличения счетчика 'Выполнено за все время' при оформлении заказа","tests","2026-05-31","passed","2026-05-31","TestFeedPage","test_feed_page","",""
"","3490","Проверка открытия окна с деталями при клике на ингредиент","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","3496","Проверка перехода по клику на кнопку 'Лента заказов'","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","8909","Проверка увеличения счетчика 'Выполнено за сегодня' при оформлении заказа","tests","2026-05-31","passed","2026-05-31","TestFeedPage","test_feed_page","",""
"","4098","Проверка открытия окна с деталями при клике на ингредиент","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","10294","Проверка закрытия окна с деталями ингредиента при клике на крестик","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","11863","Проверка появления нового заказа в разделе 'В работе'","tests","2026-05-31","passed","2026-05-31","TestFeedPage","test_feed_page","",""
"","3102","Проверка увеличения счетчика при добавлении ингредиента в заказ","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","4058","Проверка закрытия окна с деталями ингредиента при клике на крестик","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","10964","Проверка увеличения счетчика 'Выполнено за все время' при оформлении заказа","tests","2026-05-31","passed","2026-05-31","TestFeedPage","test_feed_page","",""
"","12430","Проверка появления нового заказа в разделе 'В работе'","tests","2026-05-31","passed","2026-05-31","TestFeedPage","test_feed_page","",""
"","10062","Проверка увеличения счетчика при добавлении ингредиента в заказ","tests","2026-05-31","passed","2026-05-31","TestMainPage","test_main_page","",""
"","9488","Проверка увеличения счетчика 'Выполнено за сегодня' при оформлении заказа","tests","2026-05-31","passed","2026-05-31","TestFeedPage","test_feed_page","",""
